flutter: 🎯 Target Bitrate: 57776.761 kbps | 📡 Current Bitrate: 43755.07 kbps
flutter: 🎯 Target Bitrate: 63350.574 kbps | 📡 Current Bitrate: 42372.65 kbps
flutter: 🎯 Target Bitrate: 1632.429 kbps | 📡 Current Bitrate: 12795.45 kbps
flutter: 🎯 Target Bitrate: 575.754 kbps | 📡 Current Bitrate: 2022.09 kbps
flutter: 🎯 Target Bitrate: 491.584 kbps | 📡 Current Bitrate: 3997.77 kbps
flutter: 🎯 Target Bitrate: 491.552 kbps | 📡 Current Bitrate: 3549.57 kbps
flutter: 🎯 Target Bitrate: 511.581 kbps | 📡 Current Bitrate: 1055.54 kbps
flutter: 🎯 Target Bitrate: 983.128 kbps | 📡 Current Bitrate: 610.13 kbps
flutter: 🎯 Target Bitrate: 983.128 kbps | 📡 Current Bitrate: 354.00 kbps
flutter: 🎯 Target Bitrate: 983.04 kbps | 📡 Current Bitrate: 474.11 kbps
flutter: 🎯 Target Bitrate: 982.76 kbps | 📡 Current Bitrate: 605.13 kbps
flutter: 🎯 Target Bitrate: 982.76 kbps | 📡 Current Bitrate: 679.24 kbps
flutter: 🎯 Target Bitrate: 982.4 kbps | 📡 Current Bitrate: 745.44 kbps
flutter: 🎯 Target Bitrate: 982.52 kbps | 📡 Current Bitrate: 698.90 kbps
flutter: 🎯 Target Bitrate: 1636.935 kbps | 📡 Current Bitrate: 675.97 kbps
flutter: 🎯 Target Bitrate: 2808.374 kbps | 📡 Current Bitrate: 1948.83 kbps
flutter: 🎯 Target Bitrate: 4789.007 kbps | 📡 Current Bitrate: 2491.33 kbps
flutter: 🎯 Target Bitrate: 8137.029 kbps | 📡 Current Bitrate: 3509.89 kbps
flutter: 🎯 Target Bitrate: 10596.139 kbps | 📡 Current Bitrate: 6336.01 kbps
flutter: 🎯 Target Bitrate: 23354.271 kbps | 📡 Current Bitrate: 10431.03 kbps
flutter: 🎯 Target Bitrate: 39510.605 kbps | 📡 Current Bitrate: 17310.39 kbps
flutter: 🎯 Target Bitrate: 51390.453 kbps | 📡 Current Bitrate: 16675.41 kbps
flutter: 🎯 Target Bitrate: 603.309 kbps | 📡 Current Bitrate: 23130.30 kbps
flutter: 🎯 Target Bitrate: 490.056 kbps | 📡 Current Bitrate: 7484.74 kbps
flutter: 🎯 Target Bitrate: 491.264 kbps | 📡 Current Bitrate: 9781.42 kbps
flutter: 🎯 Target Bitrate: 678.255 kbps | 📡 Current Bitrate: 1441.14 kbps
flutter: 🎯 Target Bitrate: 982.808 kbps | 📡 Current Bitrate: 1043.66 kbps
flutter: 🎯 Target Bitrate: 982.8 kbps | 📡 Current Bitrate: 1027.41 kbps
flutter: 🎯 Target Bitrate: 982.8 kbps | 📡 Current Bitrate: 1020.10 kbps
flutter: 🎯 Target Bitrate: 982.942 kbps | 📡 Current Bitrate: 1050.57 kbps
flutter: 🎯 Target Bitrate: 1421.053 kbps | 📡 Current Bitrate: 1195.79 kbps
flutter: 🎯 Target Bitrate: 2444.235 kbps | 📡 Current Bitrate: 1434.65 kbps
flutter: 🎯 Target Bitrate: 4173.118 kbps | 📡 Current Bitrate: 1262.03 kbps
flutter: 🎯 Target Bitrate: 5444.24 kbps | 📡 Current Bitrate: 855.99 kbps
flutter: 🎯 Target Bitrate: 9244.929 kbps | 📡 Current Bitrate: 0.00 kbps
flutter: 🎯 Target Bitrate: 12037.422 kbps | 📡 Current Bitrate: 192.23 kbps
flutter: 🎯 Target Bitrate: 722.27 kbps | 📡 Current Bitrate: 3476.07 kbps
flutter: 🎯 Target Bitrate: 699.442 kbps | 📡 Current Bitrate: 2119.20 kbps
flutter: 🎯 Target Bitrate: 490.96 kbps | 📡 Current Bitrate: 4678.30 kbps
flutter: 🎯 Target Bitrate: 491.08 kbps | 📡 Current Bitrate: 5574.46 kbps
flutter: 🎯 Target Bitrate: 491.128 kbps | 📡 Current Bitrate: 4812.64 kbps
flutter: 🎯 Target Bitrate: 491.088 kbps | 📡 Current Bitrate: 4239.71 kbps
flutter: 🎯 Target Bitrate: 491.192 kbps | 📡 Current Bitrate: 2049.92 kbps
flutter: 🎯 Target Bitrate: 746.643 kbps | 📡 Current Bitrate: 1046.04 kbps
flutter: 🎯 Target Bitrate: 982.544 kbps | 📡 Current Bitrate: 1035.94 kbps
flutter: 🎯 Target Bitrate: 982.248 kbps | 📡 Current Bitrate: 1038.63 kbps
flutter: 🎯 Target Bitrate: 982.488 kbps | 📡 Current Bitrate: 801.09 kbps
flutter: 🎯 Target Bitrate: 982.48 kbps | 📡 Current Bitrate: 725.24 kbps
flutter: 🎯 Target Bitrate: 982.488 kbps | 📡 Current Bitrate: 582.65 kbps
flutter: 🎯 Target Bitrate: 1795.096 kbps | 📡 Current Bitrate: 1163.25 kbps
flutter: 🎯 Target Bitrate: 2352.658 kbps | 📡 Current Bitrate: 1264.54 kbps
flutter: 🎯 Target Bitrate: 4018.834 kbps | 📡 Current Bitrate: 2783.71 kbps
flutter: 🎯 Target Bitrate: 6833.315 kbps | 📡 Current Bitrate: 4445.81 kbps
flutter: 🎯 Target Bitrate: 11591.56 kbps | 📡 Current Bitrate: 6052.75 kbps
