
Timestamp,target_bitrate,current_bitrate
bandwidth_marks = [
flutter: 2025-06-10T00:55:37.613592,983.152,1030.64
flutter: 2025-06-10T00:55:38.613034,983.2,655.60
flutter: 2025-06-10T00:55:39.612887,983.163,761.09
flutter: 2025-06-10T00:55:40.614088,983.096,682.83
flutter: 2025-06-10T00:55:41.613189,983.192,730.94
flutter: 2025-06-10T00:55:42.613212,983.163,698.90
flutter: 2025-06-10T00:55:43.615619,1546.935,778.97
flutter: 2025-06-10T00:55:44.615657,2029.35,1229.40
flutter: 2025-06-10T00:55:45.615247,3472.084,2064.08
flutter: 2025-06-10T00:55:46.614602,7700.646,3634.33
flutter: 2025-06-10T00:55:47.613369,10028.283,6171.96
flutter: 2025-06-10T00:55:48.612104,16988.986,9972.13
flutter: 2025-06-10T00:55:49.612795,28755.513,16090.93
flutter: 2025-06-10T00:55:50.612112,37398.597,26341.78
flutter: 2025-06-10T00:55:51.614972,1779.038,6655.48
flutter: 2025-06-10T00:55:52.613733,768.869,1661.69
flutter: 2025-06-10T00:55:53.615492,1093.052,1271.58
flutter: 2025-06-10T00:55:54.615048,1377.079,1029.87
flutter: 2025-06-10T00:55:55.614956,1313.707,917.86
flutter: 2025-06-10T00:55:56.615269,1395.919,854.09
flutter: 2025-06-10T00:55:57.614143,476.784,10320.32
flutter: 2025-06-10T00:55:58.615225,784.777,1282.42
flutter: 2025-06-10T00:55:59.613852,491.592,1942.29
flutter: 2025-06-10T00:56:00.613391,491.351,4483.34
flutter: 2025-06-10T00:56:01.613547,491.512,4458.66
flutter: 2025-06-10T00:56:02.614109,491.576,3105.28
flutter: 2025-06-10T00:56:03.614862,491.576,3628.66
flutter: 2025-06-10T00:56:04.614053,491.112,1767.67
flutter: 2025-06-10T00:56:05.613368,624.091,1050.46
flutter: 2025-06-10T00:56:06.614802,982.984,679.34
flutter: 2025-06-10T00:56:07.614440,982.984,531.44
flutter: 2025-06-10T00:56:08.614717,982.984,493.33
flutter: 2025-06-10T00:56:09.613668,982.984,708.61
flutter: 2025-06-10T00:56:10.614713,982.528,538.26
flutter: 2025-06-10T00:56:11.614288,999.279,636.25
flutter: 2025-06-10T00:56:12.615249,1317.609,875.16
flutter: 2025-06-10T00:56:13.614283,2269.192,1530.51
flutter: 2025-06-10T00:56:14.613271,3877.862,2373.21
flutter: 2025-06-10T00:56:15.615779,6596.343,3999.35
flutter: 2025-06-10T00:56:16.616543,11175.663,10270.39
flutter: 2025-06-10T00:56:17.632511,18944.699,17223.33
