
Timestamp,target_bitrate,current_bitrate
bandwidth_marks = [
flutter: 2025-06-10T01:01:30.616905,3496.382,2502.43
flutter: 2025-06-10T01:01:31.619926,3839.533,2538.39
flutter: 2025-06-10T01:01:32.618672,4120.015,2746.02
flutter: 2025-06-10T01:01:33.617902,4419.515,3190.47
flutter: 2025-06-10T01:01:34.617803,4852.96,3141.27
flutter: 2025-06-10T01:01:35.617709,5205.021,3445.87
flutter: 2025-06-10T01:01:36.616772,5581.884,3916.75
flutter: 2025-06-10T01:01:37.616752,6129.871,4056.06
flutter: 2025-06-10T01:01:38.616502,6572.67,4399.47
flutter: 2025-06-10T01:01:39.618463,7047.751,4954.94
flutter: 2025-06-10T01:01:40.616334,4285.307,2964.82
flutter: 2025-06-10T01:01:41.616031,4236.0,3048.30
flutter: 2025-06-10T01:01:42.618537,4677.456,3314.94
flutter: 2025-06-10T01:01:43.618419,4721.841,3225.63
flutter: 2025-06-10T01:01:44.617607,4755.847,3226.39
flutter: 2025-06-10T01:01:45.617544,4787.947,3436.30
flutter: 2025-06-10T01:01:46.616411,4829.426,3367.61
flutter: 2025-06-10T01:01:47.616712,4860.103,3337.43
flutter: 2025-06-10T01:01:48.616296,4890.773,3593.20
flutter: 2025-06-10T01:01:49.615377,4933.255,3334.74
flutter: 2025-06-10T01:01:50.616006,4964.313,3384.18
flutter: 2025-06-10T01:01:51.616290,4995.182,3654.69
flutter: 2025-06-10T01:01:52.614752,5037.866,3440.02
flutter: 2025-06-10T01:01:53.623083,5068.376,3444.82
flutter: 2025-06-10T01:01:54.618820,5101.03,3680.06
flutter: 2025-06-10T01:01:55.616167,5145.408,3523.22
flutter: 2025-06-10T01:01:56.615799,5176.168,3520.75
flutter: 2025-06-10T01:01:57.616470,5209.391,3800.17
flutter: 2025-06-10T01:01:58.615389,5256.061,3629.27
flutter: 2025-06-10T01:01:59.615925,5292.087,3610.66
flutter: 2025-06-10T01:02:00.615813,5328.545,3904.23
flutter: 2025-06-10T01:02:01.616233,5376.366,3821.56
flutter: 2025-06-10T01:02:02.619081,5412.532,3689.90
flutter: 2025-06-10T01:02:03.616687,5448.465,3904.60
flutter: 2025-06-10T01:02:04.617840,5497.617,3872.17
flutter: 2025-06-10T01:02:05.615913,5533.271,3772.91
flutter: 2025-06-10T01:02:06.617016,5572.445,3948.52
flutter: 2025-06-10T01:02:07.616150,5607.765,3887.14
flutter: 2025-06-10T01:02:08.616042,5653.113,3895.10
flutter: 2025-06-10T01:02:09.615582,5686.761,4086.49
flutter: 2025-06-10T01:02:10.615878,3963.692,2482.06
flutter: 2025-06-10T01:02:11.616537,4008.637,2718.66
flutter: 2025-06-10T01:02:12.617400,4042.535,2861.91
flutter: 2025-06-10T01:02:13.616989,4076.581,2842.34
flutter: 2025-06-10T01:02:14.619048,4123.348,2898.23
flutter: 2025-06-10T01:02:15.619282,4157.703,3089.41
flutter: 2025-06-10T01:02:16.616374,4190.97,2787.52
flutter: 2025-06-10T01:02:17.617289,4235.35,2914.46
